名稱,斷詞結果_0,斷詞結果_1,斷詞結果_2,斷詞結果_3,斷詞結果_4,斷詞結果_5,斷詞結果_6,斷詞結果_7,斷詞結果_8,斷詞結果_9,斷詞結果_10,斷詞結果_11,斷詞結果_12,斷詞結果_13,斷詞結果_14,斷詞結果_15,斷詞結果_16,斷詞結果_17,斷詞結果_18,斷詞結果_19,斷詞結果_20,斷詞結果_21,斷詞結果_22,斷詞結果_23,斷詞結果_24,斷詞結果_25,斷詞結果_26,斷詞結果_27,斷詞結果_28,斷詞結果_29,斷詞結果_30,斷詞結果_31,斷詞結果_32,斷詞結果_33,斷詞結果_34,斷詞結果_35,斷詞結果_36,斷詞結果_37,斷詞結果_38,斷詞結果_39,斷詞結果_40,斷詞結果_41,斷詞結果_42,斷詞結果_43,斷詞結果_44,斷詞結果_45,斷詞結果_46,斷詞結果_47,斷詞結果_48,斷詞結果_49,斷詞結果_50,斷詞結果_51,斷詞結果_52,斷詞結果_53,斷詞結果_54
「組織型溫室氣體盤查與產品碳足跡」建置工作,「,組織型,溫室,氣體,盤查,與,產品,碳足跡,」,建置,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X光機軟體開發與結構分析案,X光機,軟體,開發,與,結構,分析案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市土壤及地下水含氯污染補充調查與管理流程研擬計畫-地下水污染傳輸與模擬分析研究,高雄市,土壤,及,地下水,含,氯,污染,補充,調查,與,管理,流程,研擬,計畫,-,地下水,污染,傳輸,與,模擬,分析,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拖曳飛行傘體驗活動,拖曳,飛行傘,體驗,活動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拖曳飛行傘體驗活動,拖曳,飛行傘,體驗,活動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利用生物相容性水膠混合週邊血細胞治療心血管疾病臨床前試驗最適化設計,利用,生物,相容性,水膠,混合,週邊,血細胞,治療,心血管,疾病,臨床,前,試驗,最適化,設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
營運管理諮詢服務-南極霸文創樂活鋪,營運,管理,諮詢,服務,-,南極,霸文,創樂活鋪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流體化床均相磷酸亞鐵結晶除磷技術開發,流體化床,均,相,磷酸,亞鐵,結晶,除,磷,技術,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基於貝式選模法之因子篩選技術研究勞務委託(採購單號︰3000421530),基於,貝式,選模法,之,因子,篩選,技術,研究,勞務,委託,(,採購,單號,︰,3000421530,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國泰人壽高鐵桃園車站特定區產專區二期工程綠建築標章評估委託服務,國泰,人壽,高鐵,桃園,車站,特定,區產,專區,二,期,工程,綠,建築,標章,評估,委託,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新興醫療器材暨人因工程應用之評估管理研究(案號︰104TFDA-JFDA-201),新興,醫療,器材,暨,人因,工程,應用,之,評估,管理,研究,(,案號,︰,104TFDA-JFDA-201,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaluation　of　the　ability　of　SANACORE&reg;　GM　to　prevent　AHPND　by　blocking　the　bacterial　quorum　sensing　signaling　pathway,Evaluation　of　the　ability　of　SANACORE&reg;　GM　to　prevent　AHPND　by　blocking　the　bacterial　quorum　sensing　signaling　pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壓克力共聚物反應動力最適化開發計畫,壓克力,共聚物,反應,動力,最適化,開發,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壓克力共聚物技術移轉,壓克力,共聚物,技術,移轉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社群資料處理之圖像式處理技術全面考察與基礎函式庫建置勞務委託(採購單號:3000421897),社群,資料,處理,之,圖像式,處理,技術,全面,考察,與,基礎,函式庫,建置,勞務,委託,(,採購,單號,:3000421897),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
透明聚醯亞胺導電薄膜材料之開發研究(II),透明,聚醯亞胺,導電,薄膜,材料,之,開發,研究,(,II,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大成長城肉品事業處生產流程改善計劃,大成,長城,肉品,事業處,生產,流程,改善,計劃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣本土天然類比案例之探討與分析(1042001INER039),臺灣,本土,天然,類比,案例,之,探討,與,分析,(,1042001,INER,039,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度市售農產品殘留農藥風險監測研究(案號︰104TFDA-AC-301),104年度,市售,農產品,殘留,農藥,風險,監測,研究,(,案號,︰,104,TFDA-AC-301,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
義大癌治療醫院新建工程綠建築標章評估服務,義大癌,治療,醫院,新建,工程,綠,建築,標章,評估,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度「黑心油品及食品中戴奧辛檢驗」(103TFDA─A-127),103年度,「,黑心,油品,及,食品,中,戴奧辛,檢驗,」,(,103,TFDA─A-,127,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
協助傳統產業技術開發計畫─新一代不可移標之離膜雷射防偽標籤開發計畫,協助,傳統,產業,技術,開發,計畫,─,新,一代,不可,移標,之,離膜,雷射,防偽,標籤,開發,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銀髮人才發展與就業服務整合計畫業務委外計畫-非營利組織社區銀髮人力量/能之研究,銀髮,人才,發展,與,就業,服務,整合,計畫,業務,委外,計畫,-,非,營利,組織,社區,銀髮人,力量,/,能,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卡洛塔妮即溶羊奶粉免疫功效之動物實驗評估,卡洛塔妮,即,溶,羊,奶粉,免疫,功效,之,動物,實驗,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行動裝置定位定向系統開發與驗測,行動,裝置,定位,定向,系統,開發,與,驗測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蘆葦與劍研討會─臺南市產業創意行動論壇與總體規劃,蘆葦,與,劍,研討會,─,臺南市,產業,創意,行動,論壇,與,總體,規劃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
企業社會責任(CSR)報告書輔導計畫書,企業,社會,責任,(,CSR,),報告書,輔導,計畫書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度「藥品藥理治療分類代碼編訂計畫」,104年度,「,藥品,藥理,治療,分類,代碼,編訂,計畫,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
實際受柴油污染土壤場址驗證受衰變效應之影響,實際,受,柴油,污染,土壤,場址,驗證,受,衰變,效應,之,影響,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鋁合金板表面鉻酸鹽膜厚試驗分析,鋁合金板,表面,鉻酸,鹽膜,厚,試驗,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不受高頻效應影響之藍相液晶畫素電路設計,不,受,高頻,效應,影響,之,藍相,液晶,畫素,電路,設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以分子檢驗技術進行分析胎兒基因疾病預防計畫,以,分子,檢驗,技術,進行,分析,胎兒,基因,疾病,預防,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台灣地震網應用於大規模崩塌偵測及崩塌發生之降雨條件分析,台灣,地震網,應用,於,大規模,崩塌,偵測,及,崩塌,發生,之,降雨,條件,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多波段雷射治療儀在足底筋膜炎的臨床療效研究計畫,多,波段,雷射,治療儀,在,足底,筋膜炎,的,臨床,療效,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
璨揚企業股份有限公司實施企業社會責任(CSR)報告書G4.0版輔導,璨揚,企業,股份,有限公司,實施,企業,社會,責任,(,CSR,),報告書,G4.0,版,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimum　solder　alloy　path-finding,Optimum　solder　alloy　path-finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bias　reliability　test　corrosion　effect　of　coated　Cu　wire　on　Al　pad　bonding,Bias　reliability　test　corrosion　effect　of　coated　,Cu　wire　on　,Al　pad　bonding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die　surface　Analysis　and　Relationship　between　Compound　and　Die　Surface,Die　surface　Analysis　and　Relationship　between　,Compound　and　Die　,Surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vapor　Grown　Carbon　Fiber　(VGCF)　Epoxy　Composite　for　Thermal　Management,Vapor　,Grown　,Carbon　,Fiber　,(,VGCF,),　Epoxy　Composite　for　Thermal　Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effect　of　IMC　formation　on　solder　joint　reliability　under　different　substrate　surface　finishes　(OSP/ENEPIG/EPIG/ENIG),Effect　of　IMC　formation　on　solder　joint　reliability　under　different　substrate　surface　finishes　,(,OSP/ENEPIG/EPIG/ENIG,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Process　and　Analysis　for　WLCSP　Singulation(Laser　Grooving)雷射溝漕化製程與分析For　Low　k　Wafer(40/65nm),Process　and　Analysis　for　WLCSP　,Singulation,(,Laser　,Grooving,),雷射,溝,漕化,製程,與,分析,For　Low　k　Wafer,(,40/65,nm,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大鵬灣風景區104年度海岸氣象資訊整合計畫,大鵬灣,風景區,104年度,海岸,氣象,資訊,整合,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流域特定區域計畫之規劃,流域,特定,區域,計畫,之,規劃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「屏東縣縣定古蹟九如三山國王廟修復工程案」終止契約後之清算資料委託審查勞務案,「,屏東縣,縣定,古蹟,九如三山,國王廟,修復,工程案,」,終止,契約,後,之,清算,資料,委託,審查,勞務案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄港蓬萊商港區及其周邊地區空間歷史性(文化景觀)資源調查研究,高雄港,蓬萊商港區,及,其,周邊,地區,空間,歷史性,(,文化,景觀,),資源,調查,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「高雄市南星計畫遊艇產業園區」委託公民營事業開發─港池靜穩數值模擬計畫,「,高雄市,南星,計畫,遊艇,產業,園區,」,委託,公民營,事業,開發,─,港池,靜穩,數值,模擬,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10KW同步磁阻馬達共同開發,10,KW,同步,磁阻,馬達,共同,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D列印支撐演算法驗證,3D,列印,支撐,演算法,驗證,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液態菌種製作固態食用菌菌種瓶,液態,菌種,製作,固態,食用,菌菌,種瓶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「104年度委託科技計畫－乙類」-食品中危害物質風險管理策略之研析,「,104年度,委託,科技,計畫,－,乙,類,」,-,食品,中,危害,物質,風險,管理,策略,之,研析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「104年度委託科技計畫－丙類」-2015年食品中戴奧辛調查研究與風險評估,「,104年度,委託,科技,計畫,－,丙類,」,-2015年,食品,中,戴奧辛,調查,研究,與,風險,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103年度宜蘭縣南方澳抹香鯨標本製作與組裝安置採購案,103年度,宜蘭縣,南方澳,抹香鯨,標本,製作,與,組裝,安置,採購案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣住宅年度及中程計畫案,嘉義縣,住宅,年度,及,中程,計畫,案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中鋼集團離岸風場海事施工教育訓練,中鋼,集團,離岸,風場,海事,施工,教育,訓練,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工業區土壤及地下水採樣監測調查計畫,工業區,土壤,及,地下水,採樣,監測,調查,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第三座液化天然氣接收站可行性研究及環評工作－海流數值模擬計算,第三,座,液化,天然氣,接收站,可行性,研究,及,環評,工作,－,海流,數值,模擬,計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMP國際專案管理師證照輔考培訓班,PMP,國際,專案,管理師,證照,輔考,培訓班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鋁合金烤漆板檢測,鋁合金,烤漆板,檢測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度「太陽熱能利用與補助作業計畫」(1/2) (案號:104-D0303),104年度,「,太陽,熱能,利用,與,補助,作業,計畫,」,(,1/2,), ,(,案號,:,104-D,0303,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「臺中港外港區圍堤造地工程細部規劃暨水陸域設施(備)通盤檢討及規劃」之海岸地形變遷相關研究技術服務,「,臺中港,外港區,圍堤,造,地,工程,細部,規劃,暨,水,陸域,設施,(,備,),通盤,檢討,及,規劃,」,之,海岸,地形,變遷,相關,研究,技術,服務,,,,,,,,,,,,,,,,,,,,,,,,,,
法定容積對中西區歷史街區之衝擊先期研究,法定,容積,對,中西區,歷史,街區,之,衝擊,先期,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
京元電子股份有限公司優質企業(AEO)制度暨ISO28000供應鏈安全管理系統輔導建置,京元,電子,股份,有限公司,優質,企業,(,AEO,),制度,暨,ISO,28000,供應鏈,安全,管理,系統,輔導,建置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地下水含氯化合物生物整治添加藥劑研發II,地下水,含,氯化合物,生物,整治,添加,藥劑,研發,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
現地氧化處理後之菌種鑑定及生長條件探討委託研究,現地,氧化,處理,後,之,菌種,鑑定,及,生長,條件,探討,委託,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高階6082擠型鋁合金材料研製,高階,6082,擠型,鋁合金,材料,研製,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度資料浮標維護與資訊管理作業,104年度,資料,浮標,維護,與,資訊,管理,作業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台南市永成路轉爐石密級配瀝青混凝土鋪面成效評估,台南市,永成路,轉爐石,密級,配,瀝青,混凝土,鋪面,成效,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道6號多孔隙瀝青混凝土鋪面檢測評估(104),國道,6,號,多,孔隙,瀝青,混凝土,鋪面,檢測,評估,(104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李長榮化學工業股份有限公司企業社會責任(ＣSR)報告書,李長榮,化學,工業,股份,有限公司,企業,社會,責任,(,ＣSR,),報告書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
設備元件洩露檢測暨維修管理系統規劃評析,設備,元件,洩露,檢測,暨,維修,管理,系統,規劃,評析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非莫拉克受災區域之地質敏感特性分析(3/3),非,莫拉克,受,災,區域,之,地質,敏感,特性,分析,(,3/3,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台電系統採用電力系統控制效能標準(CPS)之效益與影響分析(契約編號︰TPC-5460300124),台電,系統,採用,電力,系統,控制,效能,標準,(,CPS,),之,效益,與,影響,分析,(,契約,編號,︰,TPC-,5460300124,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台日鋰電池材料與安全研討會,台,日,鋰,電池,材料,與,安全,研討會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電動腳踏車之直流無刷馬達驅動技術研究,電動,腳踏車,之,直流,無,刷,馬達,驅動,技術,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瀝青混凝土成效試驗規範之可行性研究,瀝青,混凝土,成效,試驗,規範,之,可行性,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
運動及復健器材顧問案,運動,及,復健,器材,顧問案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全國地下水管理及資源整合計畫-綜整地下水資源調查現況與歷年成果及評析水質與水量之保育工作,全,國,地下水,管理,及,資源,整合,計畫,-,綜整,地下水,資源,調查,現況,與,歷年,成果,及,評析,水質,與,水量,之,保育,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
實驗火箭設計與製作研習活動,實驗,火箭,設計,與,製作,研習,活動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業務拓展費,業務,拓展費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104-105年環境危害之健康影響及健康照護計畫,104-,105年,環境,危害,之,健康,影響,及,健康,照護,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穩定同位素分析培訓計畫,穩定,同位素,分析,培訓,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建構機台生產排程系統之研究,建構,機台,生產,排程,系統,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「藥物發展規劃」合作研究計畫,「,藥物,發展,規劃,」,合作,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
企業跨廠區物流對接與供應鏈持續改善,企業,跨,廠區,物流,對,接,與,供應鏈,持續,改善,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厭氧氨氧化技術應用在煉焦廠廢水之氨氮處理技術開發(二),厭氧氨,氧化,技術,應用,在,煉焦廠,廢水,之,氨氮,處理,技術,開發,(二),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卑南文化公園-西入口服務站綠建築標章證書評估服務,卑南,文化,公園,-,西,入口,服務站,綠,建築,標章,證書,評估,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海嘯浪高波傳機率模型之建置研究(計畫編號︰1042001INER034),海嘯,浪,高波,傳,機率,模型,之,建置,研究,(,計畫,編號,︰,1042001,INER,034,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生物資材開發系統建置,生物,資材,開發,系統,建置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台灣莫仕股份有限公司實施優質企業(AEO)制度輔導建置計畫,台灣,莫仕,股份,有限公司,實施,優質,企業,(,AEO,),制度,輔導,建置,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嚴慶齡工業發展基金會104年度專題研究計畫,嚴慶齡,工業,發展,基金會,104年度,專題,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國際護理人才交流培訓研習,國際,護理,人才,交流,培訓,研習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長效殺菌塗層材料,長效,殺菌,塗層,材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新式高效率節能水洗塔開發計畫,新式,高效率節,能,水洗塔,開發,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBR系統高通量菌相鑑定分析,MBR,系統,高通量菌,相,鑑定,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年海象資料庫處理應用系統維護,104年,海象,資料庫,處理,應用,系統,維護,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海嘯波浪於廠區效應機率評估方法建置(計畫編號︰1042001INER035),海嘯,波浪,於,廠區,效應,機率,評估,方法,建置,(,計畫,編號,︰,1042001,INER,035,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
歷史建築臺灣銀行彰化日式宿舍群調查研究及修復計畫,歷史,建築,臺灣,銀行,彰化,日式,宿舍群,調查,研究,及,修復,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
證券評價分析班,證券,評價,分析,班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐飲產業服務人才培育方案設計,餐飲,產業,服務,人才,培育,方案,設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
廢水處理專責人員訓練計畫,廢水,處理,專責,人員,訓練,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台南園區污水處理廠生物除氮程序可行性分析及效能評估計畫,台南,園區,污水,處理廠,生物,除,氮,程序,可行性,分析,及,效能,評估,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「高雄機場跑道整建工程委託規劃、設計暨監造」-機場柔性道面研究、施工規範擬訂、瀝青拌合廠產能與設備提升、道面養護機制/手冊建立及道面施工諮詢委託技術服務工作,「,高雄,機場,跑道,整建,工程,委託,規劃,、,設計,暨,監造,」,-,機場,柔性,道面,研究,、,施工,規範,擬訂,、,瀝青,拌合廠,產能,與,設備,提升,、,道面,養護,機制,/,手冊,建立,及,道面,施工,諮詢,委託,技術,服務,工作,,,,,,,,,,,
廢熱發電之史特靈引擎技術研究,廢熱,發電,之,史特靈,引擎,技術,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣已申報納管水井監驗及教育訓練委託服務一案,彰化縣,已,申報,納管,水井,監驗,及,教育,訓練,委託,服務,一,案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「大寮都市計畫細部計畫環境影響評估」民意調查,「,大寮,都市,計畫,細部,計畫,環境,影響,評估,」,民意,調查,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
燦通-建築用防火門技術研發專案,燦通,-,建築,用,防火門,技術,研發,專案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脫硝SCR觸媒之資源化回收─模廠離子交換樹脂試量產(RE104601),脫硝,SCR,觸媒,之,資源化,回收,─,模廠,離子,交換,樹脂試,量產,(,RE,104601,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
